system specifications
Linux 6.8.0-100-generic | 12th Gen Intel(R) Core(TM) i5-12400F | 12 cores | 15.5 GB RAM | Python 3.13.7

experiment parameters
params: max_iterations=500, population_size=30, number_of_runs=30

| dataset   | criteria   |     k-means |         pso |       bb-bc |          bh |
|-----------|------------|-------------|-------------|-------------|-------------|
| iris      | best       |    97.20457 |    96.54027 |    96.54360 |    96.55290 |
|           | average    |   106.10320 |    97.37648 |    96.72054 |    96.58346 |
|           | worst      |   124.02237 |   107.47911 |    97.33645 |    96.63700 |
|           | std        |    12.78755 |     2.09058 |     0.26690 |     0.02001 |
| wine      | best       | 16555.67942 | 16294.61354 | 16304.95387 | 16296.10197 |
|           | average    | 17046.88816 | 16309.55969 | 16330.36107 | 16302.16067 |
|           | worst      | 18436.95207 | 16390.02251 | 16372.54881 | 16317.50221 |
|           | std        |   830.29543 |    19.62777 |    18.33135 |     4.24819 |
| glass     | best       |   213.24151 |   211.03534 |   217.99050 |   221.94633 |
|           | average    |   222.11233 |   216.54523 |   225.31489 |   229.35858 |
|           | worst      |   255.09583 |   229.04525 |   252.54040 |   237.12677 |
|           | std        |     9.61027 |     3.91833 |     7.12818 |     3.13944 |
| cancer    | best       |  2986.96134 |  2972.89649 |  2964.75685 |  2964.40160 |
|           | average    |  2987.84122 |  3023.64075 |  3023.89540 |  2964.49985 |
|           | worst      |  2988.42781 |  3212.29722 |  3139.03090 |  2964.86872 |
|           | std        |     0.73070 |    62.97583 |    44.07822 |     0.10413 |
| cmc       | best       |  5542.18214 |  5537.39001 |  5587.02634 |  5533.46007 |
|           | average    |  5543.56706 |  5616.15078 |  5668.33993 |  5535.01618 |
|           | worst      |  5545.99467 |  5817.78705 |  5807.06189 |  5537.41635 |
|           | std        |     1.70063 |    62.29876 |    57.28216 |     1.00107 |

total execution time: 1h 12m 46.5204s
